Trauma,Anxiety,ADHD,Conduct,Delirium,Bipolar,Depression,ODD,PDD,Personality,Schizophrenia,Alcohol/Substance,Other Disorder
0.0,0.3625988531308452,0.2688563955431113,0.210085381451139,0.20206451811139148,0.27032159194349387,0.39287973237159174,0.21647220589873292,0.21262462503984852,0.21144119126904568,0.2946730117029816,0.2409545208383744,0.2981189963166527
0.3625988531308452,0.0,0.2922766466559892,0.24417113162109533,0.23496053556408217,0.29079424337746435,0.33834514385795106,0.25066396272867286,0.242905504280595,0.2450555958841762,0.3201958818717089,0.27219959978645036,0.31984652079228454
0.2688563955431113,0.2922766466559892,0.0,0.10614462227445738,0.10225218062613065,0.19016657640737283,0.34686224127269444,0.10031241238127062,0.10617473431120636,0.12071377817722316,0.20530002573350078,0.1541849969849555,0.19944538544559284
0.210085381451139,0.24417113162109533,0.10614462227445738,0.0,0.019585729045440755,0.11674052565476396,0.2878561689346715,0.03739669151677863,0.030794781092406312,0.0393568929294326,0.1249463629345409,0.07280844673357377,0.14163826379526887
0.20206451811139148,0.23496053556408217,0.10225218062613065,0.019585729045440755,0.0,0.10632698445619736,0.2777299211479446,0.028356935178463747,0.021041553842549382,0.02890187086391587,0.11348197310657127,0.06278021669912161,0.13407983530559492
0.27032159194349387,0.29079424337746435,0.19016657640737283,0.11674052565476396,0.10632698445619736,0.0,0.36237470281647405,0.12516790149062262,0.11761039479799201,0.11630036756657103,0.2037617001010136,0.1475055019761024,0.2186560967272364
0.39287973237159174,0.33834514385795106,0.34686224127269444,0.2878561689346715,0.2777299211479446,0.36237470281647405,0.0,0.29460802501142647,0.2890864607218439,0.2849686396964215,0.37091791781411193,0.3070151059490477,0.36632214502171984
0.21647220589873292,0.25066396272867286,0.10031241238127062,0.03739669151677863,0.028356935178463747,0.12516790149062262,0.29460802501142647,0.0,0.03933799609004421,0.04820614454545804,0.1340232984202703,0.08178674993566624,0.14826444820844903
0.21262462503984852,0.242905504280595,0.10617473431120636,0.030794781092406312,0.021041553842549382,0.11761039479799201,0.2890864607218439,0.03933799609004421,0.0,0.04085942211007025,0.12566290650289405,0.07490645680420646,0.1379655171089372
0.21144119126904568,0.2450555958841762,0.12071377817722316,0.0393568929294326,0.02890187086391587,0.11630036756657103,0.2849686396964215,0.04820614454545804,0.04085942211007025,0.0,0.12762894596348914,0.08027730727720357,0.14980277384093624
0.2946730117029816,0.3201958818717089,0.20530002573350078,0.1249463629345409,0.11348197310657127,0.2037617001010136,0.37091791781411193,0.1340232984202703,0.12566290650289405,0.12762894596348914,0.0,0.15279692427053207,0.2221269698610775
0.2409545208383744,0.27219959978645036,0.1541849969849555,0.07280844673357377,0.06278021669912161,0.1475055019761024,0.3070151059490477,0.08178674993566624,0.07490645680420646,0.08027730727720357,0.15279692427053207,0.0,0.18005845729583156
0.2981189963166527,0.31984652079228454,0.19944538544559284,0.14163826379526887,0.13407983530559492,0.2186560967272364,0.36632214502171984,0.14826444820844903,0.1379655171089372,0.14980277384093624,0.2221269698610775,0.18005845729583156,0.0
